word	total	char_fix	char_issue	ne_score	ne_label
Sjælland	6			1.00	namedEntity
SØRENSEN	6			1.00	namedEntity
Valdemar	6			1.00	namedEntity
Werther	6			1.00	namedEntity
Aladdins	5			1.00	namedEntity
Aristophanes	5			1.00	namedEntity
Byrons	5			1.00	namedEntity
Børsen	5			1.00	namedEntity
Cid	5			1.00	namedEntity
Collins	5			1.00	namedEntity
ERIK	5			1.00	namedEntity
Elias	5			1.00	namedEntity
Grethe	5			1.00	namedEntity
Huusby-Klitter	5			1.00	namedEntity
Iliade	5			1.00	namedEntity
Island	5			1.00	namedEntity
Kiel	5			1.00	namedEntity
Livorno	5			1.00	namedEntity
Napoleons	5			1.00	namedEntity
Nilen	5			1.00	namedEntity
Nissumfjord	5			1.00	namedEntity
Oldenborg	5			1.00	namedEntity
Pompeji	5			1.00	namedEntity
Psychen	5			1.00	namedEntity
Rosenborg	5			1.00	namedEntity
Sørensen	5			1.00	namedEntity
Weimar	5			1.00	namedEntity
Ørsteds	5			1.00	namedEntity
Alhambra	4			1.00	namedEntity
Angelos	4			1.00	namedEntity
Arno	4			1.00	namedEntity
Basnæs	4			1.00	namedEntity
Bjørnson	4			1.00	namedEntity
Bovbjerg	4			1.00	namedEntity
Børglums	4			1.00	namedEntity
COLUMBUS	4			1.00	namedEntity
Cervantes	4			1.00	namedEntity
Chillon	4			1.00	namedEntity
Dantes	4			1.00	namedEntity
Egeskov	4			1.00	namedEntity
Elisas	4			1.00	namedEntity
Elvedgaard	4			1.00	namedEntity
Gellerts	4			1.00	namedEntity
KAREN	4			1.00	namedEntity
KIRSTEN	4			1.00	namedEntity
Karens	4			1.00	namedEntity
Kirsten	4			1.00	namedEntity
Klokkedybet	4			1.00	namedEntity
Kronborg	4			1.00	namedEntity
Laaland	4			1.00	namedEntity
Madsen	4			1.00	namedEntity
Malle	4			1.00	namedEntity
Margrethe	4			1.00	namedEntity
Marsmarken	4			1.00	namedEntity
Mosens	4			1.00	namedEntity
Nielsen	4			1.00	namedEntity
Patras	4			1.00	namedEntity
Petersborg	4			1.00	namedEntity
Reitzel	4			1.00	namedEntity
Ringkjøbing	4			1.00	namedEntity
Rosenkilde	4			1.00	namedEntity
Sokrates	4			1.00	namedEntity
Sønderborg	4			1.00	namedEntity
Tells	4			1.00	namedEntity
Thieles	4			1.00	namedEntity
Viborg	4			1.00	namedEntity
William	4			1.00	namedEntity
Øresund	4			1.00	namedEntity
Adolph	3			1.00	namedEntity
Alfieris	3			1.00	namedEntity
Ansgarius	3			1.00	namedEntity
Baldur	3			1.00	namedEntity
Bogense	3			1.00	namedEntity
Bremen	3			1.00	namedEntity
Bugge	3			1.00	namedEntity
Falster	3			1.00	namedEntity
Fjaltring	3			1.00	namedEntity
Frederiksberg	3			1.00	namedEntity
Giuseppe	3			1.00	namedEntity
Grønlands	3			1.00	namedEntity
Hedeby	3			1.00	namedEntity
Helgas	3			1.00	namedEntity
Holsteinborg	3			1.00	namedEntity
Hvidberg	3			1.00	namedEntity
Hyskenstræde	3			1.00	namedEntity
Iisjomfruen	3			1.00	namedEntity
Kalas	3			1.00	namedEntity
Klods-Hans	3			1.00	namedEntity
Langemargrethe	3			1.00	namedEntity
Lorck	3			1.00	namedEntity
Luther	3			1.00	namedEntity
Mads	3			1.00	namedEntity
Marsmarkens	3			1.00	namedEntity
Maxen	3			1.00	namedEntity
Montreux	3			1.00	namedEntity
Mozart	3			1.00	namedEntity
Odin	3			1.00	namedEntity
Perseus	3			1.00	namedEntity
Phister	3			1.00	namedEntity
Ragnarok	3			1.00	namedEntity
Rasmussen	3			1.00	namedEntity
Skjærumaa	3			1.00	namedEntity
Slien	3			1.00	namedEntity
Thor	3			1.00	namedEntity
Thy	3			1.00	namedEntity
Toledo	3			1.00	namedEntity
Ulfeld	3			1.00	namedEntity
Østersøen	3			1.00	namedEntity
Anastasias	2			1.00	namedEntity
Angelo	2			1.00	namedEntity
Armidas	2			1.00	namedEntity
Beethovens	2			1.00	namedEntity
Bertels	2			1.00	namedEntity
Blake	2			1.00	namedEntity
Borreby	2			1.00	namedEntity
Bretland	2			1.00	namedEntity
Bronzino	2			1.00	namedEntity
Bugges	2			1.00	namedEntity
Calderon	2			1.00	namedEntity
Christians	2			1.00	namedEntity
Christines	2			1.00	namedEntity
Colbjørnsen	2			1.00	namedEntity
Colossæum	2			1.00	namedEntity
Corfu	2			1.00	namedEntity
Dante	2			1.00	namedEntity
Erik	2			1.00	namedEntity
Ewalds	2			1.00	namedEntity
Fiesko	2			1.00	namedEntity
Franken	2			1.00	namedEntity
Freia	2			1.00	namedEntity
Frihedsstøtten	2			1.00	namedEntity
Gisselfeldt	2			1.00	namedEntity
Glænø	2			1.00	namedEntity
Graasteen	2			1.00	namedEntity
Grubbe	2			1.00	namedEntity
Gyllembourg	2			1.00	namedEntity
Haman	2			1.00	namedEntity
Heine	2			1.00	namedEntity
Hjørring	2			1.00	namedEntity
