word	char_issue
Afbidetang	sb.
afbidsle	v.
afbie	v.
Afbigt	sb.
afbilde	v.
Afbildning	sb.
Afbillede	sb.
afbinde	v.
Afbindingsplads	sb.
afblade	v.
Afbladning	sb.
afblanke	v.
afblege	v.
afblive	v.
afblomstre	v.
afblotte	v.
afblænde	v.
afblæse	v.
afbløde	v.
afbomme	v.
afbone	v.
afbore	v.
afbove	v.
afbrase	v.
afbremse	v.
afbrinte	v.
Afbrud	sb.
afbruge	v.
afbruse	v.
afbryde	v.
Afbrydelse	sb.
Afbrydelsestegn	sb.
Afbryder	sb.
Afbrydning	sb.
Afbrydningsgnist	sb.
Afbræk	sb.
afbrække	v.
Afbrækningsmaskine	sb.
afbrænde	v.
Afbrænder	sb.
Afbrænding	sb.
Afbud	sb.
afbundte	v.
Afbygger	sb.
Afbyggergaard	sb.
Afbyggerhus	sb.
Afbyggersted	sb.
Afbyrd	sb.
afbytte	v.
afbælte	v.
afbære	v.
afbøde	v.
afbøje	v.
Afbøjning	sb.
Afbøn	sb.
afbørste	v.
afcirkle	v.
Afdal	sb.
afdale	v.
afdampe	v.
afdanke	v.
afdanse	v.
afdanske	v.
afdeklamere	v.
afdele	v.
afdele	v.
Afdeling	sb.
Afdelingschef	sb.
Afdelingsgartner	sb.
Afdelingsingeniør	sb.
Afdelingslæge	sb.
afdisputere	v.
Afdrag	sb.
afdrage	v.
Afdrags-	
Afdragsret	sb.
afdragsvis	adv.
afdreje	v.
Afdrift	sb.
afdrikke	v.
afdrive	v.
Afdrivning	sb.
afdryppe	v.
afdrømme	v.
afduge	v.
afdunste	v.
afdække	v.
Afdækning	sb.
afdæmme	v.
Afdæmning	sb.
afdæmpe	v.
afdø	v.
afdød	
afdøde	v.
Afdøethed	sb.
afelske	v.
affabel	adj.
affade	v.
Affald	sb.
affalde	v.
Affalds-	i ssgr.
Affaldsbrokke	sb.
Affaldsdynge	sb.
Affaldsgren	sb.
Affaldsjord	sb.
Affaldsplads	sb.
Affaldsprodukt	sb.
Affaldsspand	sb.
Affaldsstof	sb.
Affaldstræ	sb.
Affaldsvand	sb.
Affaldsvare	sb.
Affaldsvejr	sb.
affalme	v.
affange	v.
affar	adj.
affarende	adj.
Affart	sb.
affarve	v.
affase	v.
Affatning	sb.
affatte	v.
Affattelse	sb.
Affattelsesform	sb.
Affattelsestid	sb.
affede	v.
Affedningskur	sb.
affedte	v.
affeje	v.
Affekt	sb.
Affektation	sb.
affektere	v.
Affektion	sb.
Affektionspris	sb.
afficere	v.
affile	v.
Affiling	sb.
affiltrere	v.
affilutere	v.
affinde	v.
Affindelse	sb.
affire	v.
Affiringstov	sb.
affiske	v.
affjere	v.
afflade	v.
afflorere	v.
afflovende	adj.
afflyde	v.
afflække	v.
affløde	v.
afflaa	v.
affodre	v.
affolke	v.
affordre	v.
afforme	v.
affosfore	v.
affotografere	v.
Affrisning	sb.
affriste	v.
affritte	v.
affryse	v.
affræse	v.
affure	v.
affusle	v.
