tale	old	modern	confidence	method	context
sommerfuglen	nette	netter	0.80	window	Det var i det tidlige Foraar; der var fuldt op af Sommergjække og Crocus . »De ere meget nette!« sagde Sommerfuglen , »n
sommerfuglen	kunne	kan	0.70	window	Men Krusemynten stod stiv og stille og tilsidst sagde den: »Venskab, men heller ikke mere! jeg er gammel og De er gammel
sommerfuglen	leve	lever	0.82	spacy-dep	Men Krusemynten stod stiv og stille og tilsidst sagde den: »Venskab, men heller ikke mere! jeg er gammel og De er gammel
