tale	old	modern	confidence	method	context
i-jurabjergene	flyve	flyver	0.90	window	Gennem Bjerge, over Bjerge, Knap en Fod fra Afgrunds-Randen Som en Fugleflok vi flyve!
i-jurabjergene	ruske	rusker	0.80	window	De ruske i Døren, og Stormchoret synger Om Alt, hvad det såe, fra vor Jord var et Chaos.
i-jurabjergene	løfte	løfter	0.82	spacy-dep	Landskab på Landskab veksler, Tankerne løfte sig som Sæbebobler, Sommerfugle, henflagrende Rosenblade.
i-jurabjergene	ligge	ligger	0.82	spacy-dep	Skinnerne ligge mange Steder, i lang Strækning, tætved den bratte Afgrund.
i-jurabjergene	beskæftige	beskæftiger	0.82	spacy-dep	For hundrede År siden var her næppe seks Værksteder; nu beskæftige sig i og om Locle 20,000 Mennesker med denne Konst: h
i-jurabjergene	gentage	gentager	0.82	spacy-dep	Alt dette tør vi ikke gentage her, men sige ville vi dog vore mange Landsmænd, som nu i Sommertiden flyve til Schweiz: l
